question,answer
How do I configure CI/CD pipelines to automatically deploy changes to different environments?,"To set up CI/CD pipelines in Choreo for automating deployments to multiple environments, you can follow these steps:\n\n### 1. **Prerequisites**\n   - Ensure you have the `ENVIRONMENT-MANAGEMENT` permission, which is typically granted to Admin, Choreo Platform Engineer, and Choreo DevOps roles.\n\n### 2. **Create a Continuous Deployment Pipeline**\n   - In the Choreo Console, navigate to **Organization** in the top menu and select your organization.\n   - Go to **DevOps** and then click on **CD Pipelines**.\n   - Click on **+ Create Pipeline** and fill in the required details:\n     - **Name**: Provide a display name for your new pipeline.\n     - **Mark as Default**: Optionally, set this pipeline as the default for all new projects.\n   - Add the required environments in the preferred sequence by clicking **+ Add Environment**.\n   - Finally, click **Create** to finalize the pipeline setup.\n\n### 3. **Deployment Strategy**\n   - Choreo adopts a *build once, deploy many* strategy. This means the application is built only once (per commit if automatic build on commit is enabled) and then promoted to subsequent environments.\n   - You can manually deploy images or enable **Auto Deploy on Build** for automatic deployment upon completion of a build. Remember, this requires enabling **Auto Build on Commit** first.\n\n### 4. **Environment Management**\n   - Each project in Choreo can have customized environments. While default environments like development and production are provided, you can create additional environments if you are in a private data plane organization.\n\n### 5. **Promoting Components**\n   - After building an image, you can promote it to higher environments via the **Deploy** page of a component. This allows for testing changes in lower environments before moving to production.\n\n### Additional Information\n- Choreo injects configurations and secrets that you maintain at the environment level into components at runtime, ensuring a strict separation from source code.\n- All configurations and secrets are stored securely and can vary across environments without changing the underlying code.\n\nFor more detailed steps and additional information, you can refer to the following documentation:\n- [Create a new continuous deployment pipeline](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-continuous-deployment-pipelines/#create-a-new-continuous-deployment-pipeline)\n- [CI/CD Overview](https://wso2.com/choreo/docs/choreo-concepts/ci-cd/#deployment)\n\nThis workflow will help you effectively set up CI/CD pipelines in Choreo for your deployments."
How can I configure Choreo to notify me when a build fails?,"To configure notifications for build failures in Choreo, you need to set up a Build Failure Alert for your component. Here’s a step-by-step guide on how to do this:\n\n1. **Navigate to Your Component**: Go to the specific component for which you want to configure the alert.\n\n2. **Access the Alerts Section**: In the Choreo console, click on **Observability** in the left menu, and then select **Alerts**.\n\n3. **Create an Alert Rule**: Click on **Create Alert Rule** to initiate the creation of a new alert.\n\n4. **Select Alert Type**: Choose **Build Failure Alerts** from the list of available alert types.\n\n5. **Choose Environment and Version**: Specify the Environment you want to create the alert for and select the appropriate Deployment Track or Version of your component.\n\n6. **Configure Alert Parameters**: You may need to configure any additional parameters specific to the Build Failure Alert if applicable.\n\n7. **Specify Notification Emails**: In the **Emails** field, enter the email addresses that should be notified when a build failure occurs. You can add up to 5 email addresses.\n\n8. **Advanced Configurations**: If necessary, configure any additional parameters in the **Advanced Configurations** dropdown.\n\n9. **Review and Create**: The **Explanation window** will provide a summary of your alert configurations. Once you are satisfied, click **Create** to save and activate your alert.\n\n10. **Manage Your Alerts**: Your alert will be listed in the **Configure Alerts** pane, where you can edit, remove, or enable/disable it as needed.\n\nBy following these steps, you can effectively set up notifications for build failures in Choreo, allowing you to maintain a smooth development workflow.\n\nFor more detailed information, you can refer to the [Alert Overview documentation](https://wso2.com/choreo/docs/monitoring-and-insights/alerts-overview/#configure-alert)."
How do I implement canary deployments in Choreo?,"In Choreo, canary deployments can be effectively set up and managed using deployment tracks. Deployment tracks allow you to create dedicated pathways for different versions of your components, enabling independent version control and deployment. Here's how to set up and manage canary deployments:\n\n### Setting Up a Deployment Track for Canary Deployments\n\n1. **Create a Component**: Ensure that you have already created a component in Choreo.\n   \n2. **Access the Component**:\n   - In the Choreo Console, navigate to the **Component Listing** pane and select the component you want to create a deployment track for.\n\n3. **Create a Deployment Track**:\n   - Click on the **Deployment Track** drop-down list at the header of the component overview page.\n   - Select **+ Create New** to open the **Create Deployment Track** dialog.\n   - In this dialog, choose a branch from your GitHub repository that you want to associate with the deployment track. You can also provide a description and specify a unique API version if it's a service component.\n   - Click **Create** to finalize the creation of the deployment track.\n\n### Managing Deployment Tracks\n\n- **Relinking Deployment Tracks**: If you need to switch the branch reference for a deployment track (for example, if you want to test a new feature or version), you can do so by:\n  1. Clicking on the **Deployment Track** drop-down list and selecting **View All** to go to the component settings page.\n  2. Finding the deployment track you want to relink and clicking the **Edit Branch** icon.\n  3. Selecting the new branch from the **Branch Name** list and saving your changes.\n\n### Sample Scenario for Canary Deployments\n\nTo effectively manage version releases using canary deployments:\n1. **Unlink the Main Branch**: Start by unlinking the `main` branch from its associated deployment track.\n2. **Merge Changes**: After testing new features in the `dev` branch, merge those changes into the `main` branch.\n3. **Link New Deployment Track**: Unlink the `dev` branch from its deployment track and link the updated deployment track to the `main` branch for production deployment.\n4. **Create Additional Tracks**: For ongoing development, create another deployment track linked to the `dev` branch to facilitate further testing and development.\n\n### Important Considerations\n- Deployment track creation and management do not apply to API Proxy and BYOI components.\n- Make sure you have a minimum of two branches in your GitHub repository to relink deployment tracks effectively.\n\nFor more detailed instructions, you can refer to the documentation on managing deployment tracks [here](https://wso2.com/choreo/docs/develop-components/manage-deployment-tracks-for-choreo-components/#create-a-deployment-track)."
How do I manage different versions of my APIs in Choreo?,"In Choreo, users can manage different versions of APIs effectively through the subscription process and by utilizing the Developer Portal. Here’s how it works:\n\n1. **Subscription to APIs**: When you subscribe to an API, your subscription automatically covers all minor versions within that API's major version. This means that if a new minor version of an API is published, the invocation URL for the major version will route to the latest minor version. This ensures that existing client applications continue to function without any disruption while still benefiting from updates in the newer minor version.\n\n2. **Viewing API Versions**: In the Choreo Developer Portal, APIs are listed by their major versions. You can view the subscribed versions of an API along with details such as the application name and the creation date. This allows you to keep track of which versions of the API your applications are using.\n\n3. **Lifecycle Management**: APIs in Choreo go through various lifecycle states — CREATED, PRE-RELEASED, PUBLISHED, BLOCKED, DEPRECATED, and RETIRED. When a new version is released, the previous version can be marked as DEPRECATED, allowing existing subscribers to continue using it while new subscriptions are disabled. Eventually, when the old version is no longer in use, it can be RETIRED.\n\n4. **Best Practices**: It is recommended to always use the latest version of an API to ensure compatibility with the most recent updates. You can copy the endpoint from the API overview page in the Developer Portal and integrate it into your client application.\n\nFor more detailed steps on how to manage API subscriptions and view available API versions, you can refer to the following documentation:\n- [Create a Subscription](https://wso2.com/choreo/docs/consuming-services/create-a-subscription/)\n- [Discover APIs](https://wso2.com/choreo/docs/tutorials/consume-an-api-hosted-in-choreo/#discover-apis)\n- [API Lifecycle Management](https://wso2.com/choreo/docs/api-management/lifecycle-management/#api-lifecycle-states)\n\nThis structured approach allows for effective management of API versions and ensures that applications can adapt to changes seamlessly."
How do I add documentation to my API in Choreo?,"To add documentation to your API in Choreo, you can follow these steps:\n\n1. In the **Component Listing** pane, click on the API component for which you want to add documents.\n2. In the left navigation menu, click **Manage** and then select **Documents**.\n3. Specify a title for the document and provide the content using markdown syntax.\n4. Click **Add** to save the document.\n\nYou can add one or more documents as needed to enhance the visibility of your API. Additionally, you have the option to edit or delete existing documents if necessary.\n\nAdding documentation can improve the overall understanding of the API for its consumers by providing details such as invocation instructions, limitations, and version history.\n\nFor more detailed guidance, you can refer to the documentation [here](https://wso2.com/choreo/docs/api-management/documents/#add-documents-to-an-api)."
How do I use the Choreo VS Code extension to view logs?,"To view logs using the Choreo VS Code extension, you will need to utilize the unified log view feature available in Choreo. This allows for both runtime and audit logs to be accessed, providing valuable insights into application performance and user activity while maintaining data privacy.\n\n### Steps to View Logs in Choreo:\n\n1. **Access Runtime Logs**:\n   - The Choreo platform offers insights into both project and component-level logs, which include application and gateway logs. \n   - You can apply filters based on parameters such as:\n     - **Log Level**: (Error, Warn, Info, Debug)\n     - **Log Type**: (Application, Gateway)\n     - **Environment**: (Development, Staging, Production)\n   - This can simplify your debugging process.\n\n2. **Audit Logs**:\n   - Audit logs capture organization-level user-specific operations performed via the Choreo Console.\n   - These logs include actions like project creation, component updates, and more.\n   - To view audit logs, you need the appropriate permissions, typically set by an organization administrator.\n\n### Additional Features:\n- **Real-time Insights**: You can view live logs as well as historical logs, with the ability to define a required time range for relevant entries.\n- **Advanced Filtering**: The log view provides capabilities to efficiently navigate through logs, which is beneficial for troubleshooting in distributed environments.\n\nFor more detailed instructions and visual aids, you can refer to the following documentation:\n- [View Logs](https://wso2.com/choreo/docs/monitoring-and-insights/view-logs/)\n- [Observability Overview: Logs](https://wso2.com/choreo/docs/monitoring-and-insights/observability-overview/#logs)\n- [View Private Data Plane (PDP) Logs](https://wso2.com/choreo/docs/monitoring-and-insights/logs/view-pdp-logs/)\n\nThese resources will help you utilize the Choreo VS Code extension effectively for log management."
How can I add a custom logo to the Choreo Developer Portal?,"To add a custom logo to the Choreo Developer Portal, you will need to customize the Developer Portal theme through the Choreo Console. Here are the steps to do that:\n\n1. **Ensure Admin Privileges**: Make sure you have admin user privileges for your organization, as only admins can customize the Developer Portal theme.\n\n2. **Access Theme Settings**:\n   - In the Choreo Console, navigate to the **Settings** section in the left pane.\n   - Click on the **Organization** list to open the organization level settings page.\n   - Select the **API Management** tab and then click on **Devportal Theme**.\n\n3. **Customize the Theme**:\n   - Once you are in the theme customization area, you can expand the relevant sections to modify various elements, including the logo.\n   - Look for the section related to logos and upload your custom logo image.\n\n4. **Preview Your Changes**: After making your changes, you can click on **Preview** to see how the Developer Portal will look with the new logo and other modifications.\n\n5. **Save and Apply Changes**:\n   - Click **Save** to save your changes as a draft theme.\n   - To make the changes live, toggle the **Go Live** switch and confirm by clicking **Enable**.\n\n6. **View Changes**: Finally, you can view your updated Developer Portal to see the new logo in place.\n\nPlease note that any changes made cannot be undone, so make sure you are satisfied with your modifications before going live.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/customize-the-developer-portal/)."
How do I control which users can view my API in the Choreo Developer Portal?,"To manage user permissions or visibility settings for APIs in the Choreo Developer Portal, follow these steps:\n\n### Change API Visibility\n\n1. **Access the API**:\n   - In the Choreo Console, navigate to the **Component Listing** pane and select the REST API (Service) for which you want to control visibility.\n\n2. **Navigate to API Info**:\n   - In the left navigation menu, click **Manage** and then click on **API Info**.\n\n3. **Adjust Visibility Settings**:\n   - On the **API Info** page, click the **Developer Portal** tab.\n   - Under **General Details**, you will find a **Visibility** list. Here, you can choose from the following options:\n     - **Public**: The API is visible to all users in the Developer Portal.\n     - **Private**: The API is only visible to users who sign in to the Developer Portal.\n     - **Restricted**: The API is visible only to users with specific roles that you will define.\n\n### Enable Fine-Grained Role-Based Access Control\n\nIf you choose the **Restricted** option, you can specify which roles have access to the API:\n\n1. After selecting `Restricted`, you will see a list of available roles in your organization under **Visible Roles**.\n2. Select any combination of roles. Only users with these roles will have access to the APIs through the Developer Portal.\n\n### Creating a New Role (if needed)\n\nIf you want to create a new role to assign to the API:\n\n1. Click **+ Create New Role** in the list.\n2. Provide the role name and description.\n3. Click **Next**.\n4. Assign the relevant permissions to the newly created role.\n5. Click **Create**.\n6. Finally, select the newly created role from the **Visible Roles** list.\n\n7. Click **Save** to apply the changes.\n\nBy configuring these settings, you can effectively manage which users can view and access your APIs in the Choreo Developer Portal.\n\nFor more detailed information, you can refer to the documentation on [Control API Visibility](https://wso2.com/choreo/docs/api-management/control-api-visibility/#change-api-visibility)."
How can I configure an alert for when my API starts returning 500 errors?,"To configure alerts for monitoring API responses, specifically for 500 errors, you can set up a **Status Code Alert** in the Choreo Console. This type of alert can notify you when your component returns specific HTTP error codes, including the 500 Internal Server Error.\n\nHere's how to configure a Status Code Alert for 500 errors:\n\n1. **Navigate to the Component**: Go to the component for which you want to configure the alert.\n2. **Access Alerts**: In the left menu, click on **Observability** and then select **Alerts**.\n3. **Create Alert Rule**: Click on **Create Alert Rule** to start setting up a new alert.\n4. **Select Alert Type**: Choose **Status Code Alert** as the alert type.\n5. **Configure Alert Settings**:\n   - **Status Code**: Enter `500` to monitor for internal server errors.\n   - **Count**: Specify the minimum number of occurrences (e.g., `5`) to trigger the alert.\n   - **Interval**: Define the time window for counting occurrences (e.g., `5 minutes`).\n6. **Environment and Deployment Track**: Select the environment and the deployment track or version as required.\n7. **Email Notifications**: In the **Emails** field, specify the email addresses that should be notified when the alert is triggered.\n8. **Advanced Configurations**: Configure any additional parameters in the **Advanced Configurations** dropdown if needed.\n9. **Create Alert**: Review the summary in the **Explanation window** and click **Create** to save and activate your alert.\n\nBy following these steps, you will have configured an alert that monitors for 500 errors, helping you to quickly identify and respond to issues affecting your API's availability.\n\nFor more detailed information, you can refer to the official documentation on configuring alerts: [Configure Alert](https://wso2.com/choreo/docs/monitoring-and-insights/alerts-overview/#configure-alert)."
How do I define a new endpoint for my service after it has already been deployed?,"To define a new endpoint for a service that has already been deployed in Choreo, follow these steps:\n\n1. **Go to the Deploy Section**: In the left navigation menu, click on **Deploy**.\n   \n2. **Update Image & Deploy**: Click on the **Update Image & Deploy** button within the **Build Area** card.\n\n3. **Define Endpoints**: In the **Endpoint** pane that appears, you can define the new endpoints for your service during the manual deployment process. \n\n4. **Create/Update Endpoints**: Click on **Create/Update Endpoints** to proceed.\n\n5. **Edit endpoints.yaml**: Under the **Edit endpoints.yaml** section, you will have the option to edit the `endpoints.yaml` file in the provided editor. Here, you can specify the details for the new endpoint such as protocol, port, network visibility, and schema.\n\n6. **Alternative - Upload API Specification**: Instead of manually editing the YAML file, you can also upload the associated API specification/schema files (such as OpenAPI or GraphQL schemas). You can reference these files in the `endpoints.yaml` by their filename, similar to how you would in Git-based Choreo components.\n\n7. **Save Changes**: Once you have defined your new endpoints, ensure to save the changes.\n\nBy following these steps, you can successfully define new endpoints for your already deployed service in Choreo.\n\nFor more detailed information, you can refer to the documentation on [exposing service endpoints](https://wso2.com/choreo/docs/develop-components/bring-your-own-image/#step-4-expose-service-endpoints)."
How do I configure a service to use a specific version of Java?,"To configure a service in Choreo to use a specific version of Java, you need to ensure that you specify the desired OpenJDK version in your project's configuration. Choreo supports the following Java versions:\n\n- 8\n- 11\n- 17\n- 18 (OpenJDK Runtime Environment Temurin)\n\nHere are the steps you can follow:\n\n1. **Define the Java Version**: When you set up your service component, make sure to indicate the required Java version in your project configuration. This ensures that your service will run using the specified Java version.\n\n2. **Use a Procfile (Optional)**: While it's optional to include a `Procfile` for Java projects, if you want to customize the entry point of your container, you can create a `Procfile` in your project root directory. Here’s an example of what it might look like:\n   ```\n   web: java -jar target/sample.jar\n   ```\n   This command specifies how to start your Java application.\n\n3. **Manage Dependencies**: If you are using Maven, ensure that your project is correctly set up, and that the `Main` class is defined in the manifest file. \n\n4. **Build and Deploy**: After configuring your project, you can build and deploy your service through the Choreo console. If you need to upgrade your Java version later, you may also need to redeploy your component.\n\nFor more detailed information, you can refer to the relevant documentation on deploying applications with buildpacks in Choreo: [Deploy an Application with Buildpacks](https://wso2.com/choreo/docs/develop-components/deploy-an-application-with-buildpacks/#develop-a-component).\n\nIf you have any other questions or need further assistance, feel free to ask!"
